ID,3BNC117,8ANC131,VRC03,CH103,2F5,VRC06,VRC-PG20,VRC-PG04,17b,PG16,VRC01,8ANC195,VRC-CH31,b12,b13,NIH45-46,10E8,VRC23,4E10,F105,PG9
AY835438,0.262,0.362,1.320,0.141,4.90,21.3,8.320,1.390,50,50,1.600,0.086,50,0.874,38.400,0.067,0.092,50,0.458,3.08,0.465
JN944661,0.064,14.200,50,9.560,0.344,50,0.089,0.04,50,0.009,0.151,0.524,0.130,50,50,2.380,0.192,1.530,2.5,50,0.026
HM215294,0.046,0.067,0.098,0.100,50,50,0.029,0.023,50,0.023,0.155,50,0.023,13.600,50,0.055,4.640,0.416,8.640,50,0.281
AY835445,0.033,9.970,0.066,0.171,50,50,15.500,0.291,50,4.86,0.260,0.133,0.042,50,50,1.040,0.028,17.80,0.599,50,41.5
U63632,0.003,0.046,0.007,0.006,7.84,0.180,0.009,0.104,50,50,0.020,50,0.012,0.015,13.800,0.009,0.353,0.062,5.4,50,50
EU513193,0.032,1.350,50,10.000,8.04,50,0.031,1.250,50,50,0.255,50,0.1,50,50,0.219,50,10.70,4.740,50,24.0
EU855130,0.025,0.032,50,50,50,50,0.006,0.802,50,0.048,0.108,50,0.117,50,50,0.018,0.023,50,0.081,50,0.100
AY835451,0.030,12.700,50,0.510,2.29,50,50,1.160,50,0.023,0.110,50,0.086,9.670,50,0.037,0.125,50,1.200,50,0.023
AY835441,0.049,0.158,0.036,0.174,1.34,0.538,0.050,0.122,50,1.20,0.097,0.230,0.143,0.201,50,0.031,0.125,1.460,1.490,50,0.535
DQ388515,0.398,50,1.75,0.668,35.7,50,0.176,2.31,50,0.650,0.581,47.200,0.605,50,50,0.314,0.119,3.080,0.425,50,0.414
EF117270,0.059,0.094,0.041,0.226,N/A,N/A,0.022,0.216,50,N/A,0.046,9.710,0.362,50,50,0.023,0.321,2.840,1.790,N/A,N/A
U08458,0.025,11.000,50,0.052,0.131,50,0.031,0.016,50,50,0.190,0.512,0.023,50,50,0.116,0.105,1.230,0.213,50,50
HM215310,0.216,50,50,0.066,N/A,N/A,50,2.710,50,N/A,50,0.780,0.569,50,50,50,0.710,50,4.78,N/A,N/A
EF210732,50,50,50,0.058,0.049,50,50,50,50,0.001,50,0.020,50,50,50,50,0.010,50,0.34,50,0.014
HM215335,50,50,50,50,50,50,50,50,50,50,50,2.250,50,50,50,50,0.743,50,50,50,50
HM215413,0.113,19.200,0.429,0.079,1.77,3.83,0.348,0.465,14.700,50,0.377,50,1.150,50,50,0.238,0.107,50,0.1,13.6,50
HM215323,0.096,1.530,50,0.280,0.147,50,0.924,1.130,8.880,0.023,0.457,0.271,0.228,0.325,50,0.601,0.00060,11.200,0.004,4.69,0.242
DQ187171,3.350,7.320,24.600,50,2.92,50,0.137,0.099,50,0.003,0.230,2.300,0.034,0.515,50,0.303,0.476,1.560,2.190,50,0.014
AY423971,0.040,0.565,50,0.086,50,50,0.150,0.639,50,50,0.197,50,0.893,50,50,0.085,3.250,2.420,8.790,50,0.571
HM215311,6.970,0.460,0.595,1.220,50,6.25,0.547,1.330,50,12.2,0.495,0.897,34.800,50,50,0.141,4.490,50,3.05,50,50
JQ715370,0.432,30.800,50,3.930,50,50,50,50,13.900,0.162,50,0.479,45.100,0.146,26.800,50,0.072,50,1.930,0.940,0.104
AF407158,0.007,0.032,0.020,0.033,0.609,0.140,0.010,0.071,50,0.010,0.012,0.207,0.036,50,50,0.013,0.297,0.364,1.73,50,0.007
EU855131,0.020,0.378,50,0.105,7.55,5.12,0.022,0.052,50,0.070,0.254,0.342,0.024,10.700,50,0.144,1.200,0.092,8.210,50,0.103
AY424138,0.041,17.100,50,3.830,50,50,0.239,0.0,50,4.93,0.062,50,0.031,50,50,0.046,0.163,30.300,0.708,50,0.106
EU513199,0.155,2.260,50,50,1.04,50,0.978,12.200,50,0.023,0.405,50,0.041,50,50,0.164,0.085,50,0.009,50,0.060
HM215283,0.648,50,50,0.076,0.765,50,50,50,50,50,0.193,0.379,50,0.765,50,50,0.858,50,4.800,50,0.286
DQ187010,0.019,0.931,50,0.253,1.10,50,0.056,0.142,50,0.047,0.033,50,0.052,0.134,50,0.090,0.195,1.060,1.560,50,0.071
HM215331,50,11.300,50,N/A,N/A,N/A,0.536,50,50,N/A,50,50,50,50,50,50,2.080,50,6.070,N/A,N/A
DQ435683,8.160,50,50,4.520,50,50,50,50,50,0.023,50,50,50,50,50,50,0.917,50,4.000,50,0.087
HM215411,0.291,1.220,50,1.030,50,50,1.250,1.23,50,50,0.686,10.300,0.519,3.810,50,0.624,0.756,8.850,1.7,50,50
HM215412,9.950,33.900,0.629,50,50,1.23,5.620,1.830,50,2.51,1.030,2.450,0.928,18.400,50,0.253,1.300,21.700,3.120,50,13.5
HM215327,0.171,43.600,50,2.940,7.51,50,0.371,2.32,50,50,2.420,0.714,0.204,50,23.700,0.731,0.356,37.900,3.920,50,50
EU513185,0.181,31.400,50,0.405,5.46,50,0.221,0.433,50,0.003,2.080,0.572,0.165,50,50,0.579,0.270,50,2.000,50,0.020
EU513191,0.116,10.900,50,50,4.27,50,0.470,0.088,50,4.44,0.455,6.200,0.431,50,50,0.268,1.690,49.500,0.755,50,0.127
AY835446,6.050,50,50,4.440,0.975,50,50,50,50,0.023,0.954,0.519,46.100,1.860,50,0.364,0.148,50,0.408,50,0.078
HM215299,0.094,0.430,0.033,0.364,43.9,1.22,0.096,0.093,50,0.036,0.105,2.830,0.061,6.930,50,0.082,4.240,1.260,11.500,50,0.149
